Smp_005260.2 GO:0000166,GO:0003723,GO:0005634,GO:0005737,GO:0006397,GO:0006417,GO:0051028
Smp_005280.1 GO:0004221,GO:0006511,GO:0006512,GO:0008233,GO:0008234
Smp_005290.1 GO:0005506,GO:0005739,GO:0005743,GO:0005746,GO:0006118,GO:0006810,GO:0009055,GO:0016021,GO:0020037
Smp_005330.1 GO:0000049,GO:0004825,GO:0005524,GO:0005737,GO:0006412,GO:0006431,GO:0008270
Smp_005350.1 GO:0005509
Smp_005390.1 GO:0000287,GO:0003984,GO:0009082,GO:0030976,GO:0050660
Smp_005390.2 GO:0000287,GO:0003984,GO:0009082,GO:0030976,GO:0050660
Smp_005470.1 GO:0003777,GO:0005737,GO:0005874,GO:0007017,GO:0030286
Smp_005500.1 GO:0000139,GO:0004653,GO:0005509,GO:0005529,GO:0005794,GO:0016021,GO:0030145
Smp_005520.1 GO:0003677,GO:0005622,GO:0005634,GO:0006350,GO:0006355,GO:0008270
Smp_005570.1 GO:0005634,GO:0006915
Smp_005640.1 GO:0003723,GO:0004652,GO:0005634,GO:0006350,GO:0006397,GO:0016779,GO:0031123
Smp_005670.1 GO:0005525,GO:0005622,GO:0005886,GO:0007264,GO:0015031
Smp_005710.1 GO:0003677,GO:0005524,GO:0005737
Smp_005710.2 GO:0003688,GO:0005524,GO:0005737,GO:0006260,GO:0006270,GO:0006275
Smp_005720.1 GO:0005215,GO:0005886,GO:0006810,GO:0016021
Smp_005740.1 GO:0005215,GO:0005886,GO:0006810,GO:0016021
Smp_005790.1 GO:0004871,GO:0005525,GO:0007186
Smp_005860.1 GO:0003677,GO:0003723,GO:0005634,GO:0005737,GO:0030529
Smp_005860.2 GO:0003677,GO:0003723,GO:0005634,GO:0005737,GO:0030529
Smp_005860.3 GO:0003723,GO:0005634,GO:0005737
Smp_005880.1 GO:0004611,GO:0005524,GO:0005525,GO:0005737,GO:0006094
Smp_005900.1 GO:0004842,GO:0005622,GO:0005737,GO:0006464,GO:0006512
Smp_005910.1 GO:0004725,GO:0005737,GO:0006470,GO:0008138,GO:0016020
Smp_005960.1 GO:0005634,GO:0005737
Smp_006000.1 GO:0005737,GO:0005856,GO:0005874,GO:0006810
Smp_006040.1 GO:0001584,GO:0004930,GO:0004938,GO:0005886,GO:0007186,GO:0016021
Smp_006190.1 GO:0003723,GO:0016818,GO:0030145
Smp_006230.1 GO:0005737,GO:0016020,GO:0016021
Smp_006240.1 GO:0016020,GO:0016021
Smp_006250.1 GO:0005634,GO:0006350,GO:0006355,GO:0008270
Smp_006250.2 GO:0005634,GO:0006350,GO:0006355,GO:0008270
Smp_006300.1 GO:0000287,GO:0005506,GO:0006118,GO:0006810,GO:0009055,GO:0009507,GO:0009522,GO:0009579,GO:0015979,GO:0016020,GO:0016021,GO:0016168,GO:0018298,GO:0051539
Smp_006320.1 GO:0003723,GO:0005634,GO:0005737,GO:0006397,GO:0006417,GO:0006810,GO:0007275,GO:0008380,GO:0030154
Smp_006340.1 GO:0016020,GO:0016021
Smp_006350.2 GO:0005634,GO:0005829,GO:0043234
Smp_006390.1 GO:0004869,GO:0005622
Smp_006440.1 GO:0000166,GO:0003723,GO:0005634,GO:0005737,GO:0006397
